Rang;n° rue;Nom rue;Code postal;Ville;Date création;Nom société;APE;Catégorie;Nbr employé;Mise à jour;Date finance;Revenu;Profit
56;507;BOULEVARD DU PRESIDENT HOOVER;59000;LILLE;2013;SOCIETE NATIONALE DE RADIODIFFUSION RADIO FRANCE;6010Z;édition et diffusion de programmes radio;4629;2013-09-04T00:00:00;31/12/2015;638832000;-13879000
57;12;PLACE SAINT HUBERT;59800;LILLE;2015;ECO EMBALLAGES SA;8299Z;Autres activités de soutien aux entreprises n.c.a.;200;2016-08-12T00:00:00;31/12/2015;637665670;
58;;AVENUE DE LA ROTONDE;59160;LILLE;2012;DAVIGEL;4639A;Commerce de gros (commerce interentreprises) de produits surgelés;2400;2012-08-02T00:00:00;31/12/2015;629100138;-21039675
59;33;RUE DU CHATEAU D ISENGHIEN;59160;LILLE;2015;ELIOR ENTREPRISES;5629A;Restauration collective sous contrat;7638;2015-07-15T00:00:00;30/09/2015;623553665;13162843
60;80;RUE DE PARIS;59800;LILLE;2004;MAISONS DU MONDE FRANCE;4759B;Commerce de détail d'autres équipements du foyer;2565;2004-11-23T00:00:00;31/12/2015;621533661;29618327
61;62;BOULEVARD DE BELFORT;59000;LILLE;2014;SODEXO ENTREPRISES;5629A;Restauration collective sous contrat;6994;2014-11-21T00:00:00;31/08/2015;595689499;18790964
62;130;RUE DU GRAND BUT LOMME;59160;LILLE;2004;MICROMANIA;4741Z;Comm. détail ordinateurs unités périph. & logiciels (magas. spéc);1600;2006-06-02T00:00:00;31/01/2015;576390599;24680410
63;17;RUE EDOUARD DELESALLE;59800;LILLE;1997;GFI INFORMATIQUE;6202A;Conseil en systèmes et logiciels informatiques;5100;2001-11-13T00:00:00;31/12/2015;576109000;16731000
64;4;RUE DE BETHUNE;59800;LILLE;1997;CELIO FRANCE;4771Z;Commerce de détail d'habillement en magasin spécialisé;73;2015-02-08T00:00:00;31/01/2015;575789202;11382063
65;2;BOULEVARD CARNOT;59800;LILLE;2008;NMP FRANCE;5510Z;Hà´tels et hébergement similaire;3869;2014-04-04T00:00:00;31/12/2015;571242667;-13857122
66;26;RUE NEUVE;59000;LILLE;1988;PROMOD;1413Z;Fabrication de vàªtements de dessus;2661;2001-01-24T00:00:00;28/02/2015;566797607;3196756
67;165;AVENUE DE LA BRETAGNE;59000;LILLE;2010;MICROSOFT FRANCE;4614Z;Interm. comm. machines, équipts industriels, navires et avions;1584;2015-01-11T00:00:00;30/06/2015;560473013;42672516
68;14;RUE DU VIEUX FAUBOURG;59800;LILLE;2003;ERNST & YOUNG ET ASSOCIES;6920Z;Activités comptables;2501;2004-03-03T00:00:00;30/06/2015;554639552;5099921
69;1;RUE FAIDHERBE;59000;LILLE;2014;APPLE RETAIL FRANCE EURL;4741Z;Comm. détail ordinateurs unités périph. & logiciels (magas. spéc);1654;2015-06-12T00:00:00;30/09/2015;554231467;7902498
70;;AVENUE DE LA ROTONDE;59160;LILLE;2003;FRAIKIN ASSETS;7712Z;Location et location-bail de camions;0;2016-04-26T04:32:20;31/12/2015;540848733;-25093669
71;130;RUE DE LA LOUVIERE;59800;LILLE;2002;SODEXO SANTE MEDICO SOCIAL;5629A;Restauration collective sous contrat;8698;2009-07-26T00:00:00;31/08/2015;538482745;24569141
72;8;RUE ANATOLE FRANCE;59000;LILLE;2009;ICADE PROMOTION;4110A;Promotion immobilière de logements;688;2010-01-03T00:00:00;31/12/2015;537327018;20501656
73;136;RUE DE DOUAI;59000;LILLE;1998;OGF;9603Z;Services funéraires;5289;2015-03-25T00:00:00;31/03/2015;532261021;49428884
74;;AVENUE DE LA ROTONDE;59160;LILLE;2000;FRAIKIN FRANCE;7712Z;Location et location-bail de camions;2124;2008-09-08T00:00:00;31/12/2015;496648494;8457374
75;21;RUE DE TURENNE;59000;LILLE;1998;BRICORAMA FRANCE;4752B;Comm. détail de quincaillerie, peintures et verres (mag.> 400 m2);2400;1998-08-21T00:00:00;31/12/2015;492216926;10931994
76;59;RUE DE TREVISE;59000;LILLE;2006;LFB BIOMEDICAMENTS;7219Z;Recherche-développement : autres sciences physiques et naturelles;1316;2008-03-09T00:00:00;31/12/2015;479851076;47641379
77;17;RUE ROGER SALENGRO (HELLEMMES);59260;LILLE;1986;DCA-MORY SHIPP;4671Z;Commerce de gros de combustibles et de produits annexes;408;1992-11-20T00:00:00;31/12/2015;478715910;3964637
78;103;RUE NATIONALE;59800;LILLE;2006;CARREFOUR PROXIMITE FRANCE;7740Z;Loc-bail de propriété intell. & sf oeuvres soumises à  copyright;934;2010-05-10T00:00:00;31/12/2015;478654180;112518250
79;33;RUE DE TOURNAI;59800;LILLE;2001;SUPPLAY;7820Z;Activités des agences de travail temporaire;539;2001-04-03T00:00:00;31/12/2015;465900816;22986960
80;51;RUE JEAN BART HELLEMMES;59260;LILLE;2014;API RESTAURATION;5629A;Restauration collective sous contrat;5903;2014-01-31T00:00:00;31/08/2015;459813382;11918451
81;17;RUE COLSON;59800;LILLE;2011;PV RESIDENCES & RESORTS FRANCE;5520Z;Hébergement touristique et autre hébergement de courte durée;1686;2012-12-14T00:00:00;30/09/2015;453087400;-31127410
82;6;RUE DE L EUROPE LOMME;59160;LILLE;2012;MEDIAPOST;7311Z;Activités des agences de publicité;7141;2012-03-22T00:00:00;31/12/2015;446309820;4059881
83;45;RUE DE PARIS;59800;LILLE;2013;ORCHESTRA-PREMAMAN;4771Z;Commerce de détail d'habillement en magasin spécialisé;2671;2013-10-02T00:00:00;28/02/2015;444947000;8616000
84;21;RUE DE TURENNE;59000;LILLE;1980;KILOUTOU;7729Z;Location et location-bail autres biens personnels et domestiques;3421;1989-12-12T00:00:00;31/12/2015;439239083;18015067
85;163;CTRE COMMERCIAL EURALILLE;59777;LILLE;2000;GO SPORT FRANCE;4764Z;Commerce de détail d'articles de sport en magasin spécialisé;0;2007-10-21T00:00:00;31/12/2015;419149953;-32868676
86;36;BOULEVARD DE LA LIBERTE;59800;LILLE;2000;FRANCE TELEVISIONS PUBLICITE;7312Z;Régie publicitaire de médias;244;2000-12-01T00:00:00;31/12/2015;403933939;5743456
87;;RUE DU GRAND BUT LOMME;59160;LILLE;2009;ARMAND THIERY SAS;4771Z;Commerce de détail d'habillement en magasin spécialisé;2353;2009-05-12T00:00:00;31/12/2015;400341694;23402037
88;41;RUE ESQUERMOISE;59800;LILLE;2011;THOMAS COOK SAS;7912Z;Activités des voyagistes;1137;2011-07-22T00:00:00;30/09/2015;374737874;-28988952
89;132;RUE JEAN BAPTISTE DUMAS;59160;LILLE;2001;LARIVIERE;4673A;Commerce de gros de bois et de matériaux de construction;787;2001-08-01T00:00:00;31/12/2015;373354700;9083930
90;;CTRE COMMERCIAL EURALILLE;59777;LILLE;2003;THOM;4777Z;Comm. détail d'articles horlogerie & bijouterie (magas. spéc.);2275;2014-11-05T00:00:00;30/09/2015;369434381;30789200
91;12;RUE NEUVE;59800;LILLE;2005;ETAM LINGERIE;4771Z;Commerce de détail d'habillement en magasin spécialisé;1092;2006-02-13T00:00:00;31/12/2015;366435638;9676748
92;;AVENUE DE MORMAL;59800;LILLE;2016;LAFARGE GRANULATS FRANCE;0812Z;Exploit gravieres & sablieres, extraction argiles & kaolin;1333;2016-02-29T00:00:00;31/12/2015;360315025;-33494114
93;75;CTRE COMMERCIAL EURALILLE;59777;LILLE;1996;OKAIDI;4771Z;Commerce de détail d'habillement en magasin spécialisé;1704;2001-10-11T00:00:00;31/12/2015;359028534;25440977
94;87;RUE NATIONALE;59800;LILLE;1991;ADOMA;5590Z;Autres hébergements;2400;1993-12-29T00:00:00;31/12/2015;353062000;37237000
95;;RUE DU GRAND BUT LOMME;59160;LILLE;1995;BUFFALO GRILL;5610A;Restauration traditionnelle;4689;2005-06-09T00:00:00;31/12/2015;350222136;13907522
96;556;AVENUE WILLY BRANDT;59777;LILLE;2011;PRICEWATERHOUSECOOPERS AUDIT;6920Z;Activités comptables;1444;2011-12-11T00:00:00;30/06/2015;336322808;939229
97;7;RUE NEUVE;59000;LILLE;2005;SFR DISTRIBUTION;6120Z;Télécommunications sans fil;2600;2005-09-08T00:00:00;31/12/2015;326950214;-2724694
98;30;RUE DE BELLE VUE;59800;LILLE;2000;AVIS LOCATION DE VOITURES;7711A;Location de courte durée voitures & véhicules auto. légers;1253;2008-01-29T00:00:00;31/12/2015;326053319;-28062934
99;137;RUE DU GRAND BUT LOMME;59160;LILLE;1989;KEOLIS LILLE;4931Z;Transports urbains et suburbains de voyageurs;2698;2008-02-28T00:00:00;31/12/2015;311785037;-15856281
100;100;CTRE COMMERCIAL EURALILLE;59777;LILLE;2015;PRIMARK FRANCE SAS;4719B;Autres commerces de détail en magasin non spécialisé;1884;2016-11-10T00:00:00;31/08/2015;306044427;6258088
101;11;PARVIS DE ROTTERDAM;59777;LILLE;2013;GRAS SAVOYE;6622Z;Activités des agents et courtiers d'assurances;1555;2015-01-25T00:00:00;31/12/2015;301011518;22246693
102;67;RUE DE LUXEMBOURG;59777;LILLE;2002;DELOITTE ET ASSOCIES;6920Z;Activités comptables;1373;2003-02-11T00:00:00;31/05/2015;299512332;-433007
103;;CTRE COMMERCIAL EURALILLE;59777;LILLE;2005;FRANCE QUICK SAS;5610C;Restauration de type rapide;3000;2016-08-09T00:00:00;31/12/2015;297785622;-27214331
104;12;RUE DE L EUROPE LOMME;59160;LILLE;2000;BRINK'S EVOLUTION;8010Z;Activités de sécurité privée;3359;2014-08-28T00:00:00;31/12/2015;295566051;2058138
105;217;RUE JEAN JAURES LOMME;59160;LILLE;2015;ACTION FRANCE;4778C;Autres commerces de détail spécialisés divers;1333;2016-02-21T00:00:00;31/12/2015;287579989;3915047
106;4;RUE DE L EUROPE LOMME;59160;LILLE;2004;PETIT FORESTIER LOCATION;7712Z;Location et location-bail de camions;50;2015-02-08T00:00:00;31/12/2015;282472461;4774312
107;82;CTRE COMMERCIAL EURALILLE;59777;LILLE;1994;STOCK J BOUTIQUE JENNYFER;4771Z;Commerce de détail d'habillement en magasin spécialisé;1670;1995-12-05T00:00:00;31/01/2015;261273910;3107593
108;17;RUE LAVOISIER LOMME;59160;LILLE;1998;ALDI MARCHE BOIS GRENIER;4711D;Supermarchés;604;2010-05-05T00:00:00;31/12/2015;255294918;2590938
109;66;RUE FAIDHERBE;59000;LILLE;2007;ETABLISSEMENTS NICOLAS;4725Z;Commerce de détail de boissons en magasin spécialisé;879;2008-02-05T00:00:00;31/12/2015;246803108;10293275
110;29;RUE DE LA VIEILLE COMEDIE;59800;LILLE;2013;VF J FRANCE;4642Z;Commerce de gros d'habillement et de chaussures;361;2013-09-20T00:00:00;31/12/2015;242621478;2190637
111;36;PLACE DE LA GARE;59800;LILLE;2013;KFC FRANCE SAS;5610C;Restauration de type rapide;2119;2016-08-25T00:00:00;30/11/2015;239957747;2720109
112;14;RUE DU VIEUX FAUBOURG;59800;LILLE;2007;ERNST & YOUNG ET AUTRES;6920Z;Activités comptables;0;2007-05-18T00:00:00;30/06/2015;238580411;2132909
113;199;RUE COLBERT;59000;LILLE;2010;MAISONS FRANCE CONFORT;4120A;Construction de maisons individuelles;640;2010-03-09T00:00:00;31/12/2015;233582000;10341000
114;15;RUE DE BETHUNE;59800;LILLE;2016;MANGO FRANCE;4771Z;Commerce de détail d'habillement en magasin spécialisé;1409;2016-06-13T00:00:00;31/12/2015;227134477;5370798
115;;RUE LAVOISIER;59800;LILLE;2001;PHARMA DOM;7729Z;Location et location-bail autres biens personnels et domestiques;1498;2012-08-02T00:00:00;31/12/2015;225254144;22036361
116;;AVENUE DE LA ROTONDE;59160;LILLE;2008;DISTRIBUTION DE MATERIAUX POUR LES TRAVAUX PUBLICS - D.M.T.P;4673A;Commerce de gros de bois et de matériaux de construction;500;2009-04-01T00:00:00;31/12/2015;223037495;-25130
117;44;RUE DE LA MONNAIE;59800;LILLE;2014;IKKS RETAIL;4771Z;Commerce de détail d'habillement en magasin spécialisé;597;2014-01-31T00:00:00;31/12/2015;222408251;-1038481
118;;CTRE COMMERCIAL EURALILLE;59777;LILLE;2015;COURIR FRANCE;4764Z;Commerce de détail d'articles de sport en magasin spécialisé;0;2015-03-10T00:00:00;31/12/2015;222085112;7474294
119;24;BOULEVARD CARNOT;59800;LILLE;2012;KELLY SERVICES;7820Z;Activités des agences de travail temporaire;200;2014-01-19T00:00:00;31/12/2015;217069367;7385211
120;36;RUE INKERMANN;59000;LILLE;2012;NEXITY LAMY;6832A;Administration d'immeubles et autres biens immobiliers;2756;2012-05-15T00:00:00;31/12/2015;216088293;3342911
121;;BOULEVARD DE LEZENNES;59000;LILLE;2016;LILNAT;4771Z;Commerce de détail d'habillement en magasin spécialisé;1267;2016-03-02T00:00:00;31/12/2015;214640593;-12267313
122;323;BOULEVARD DU PRESIDENT HOOVER;59800;LILLE;2010;ARIUS;4651Z;Comm. de gros d'ordinat., d'éqpts informatiq. périph. & logiciels;0;2010-09-29T00:00:00;31/12/2015;212963051;1947085
123;;BOULEVARD CARNOT;59800;LILLE;1998;INDIGO PARK;5221Z;Services auxiliaires des transports terrestres;1926;2003-05-05T00:00:00;31/12/2015;211998174;2244537
124;27;RUE DU VIEUX FAUBOURG;59800;LILLE;2013;NEWREST WAGONS-LITS FRANCE;5610A;Restauration traditionnelle;1489;2014-02-16T00:00:00;30/09/2015;208613711;5952683
125;40;RUE DE BETHUNE;59800;LILLE;1998;UGC CINE CITE;5914Z;Projection de films cinématographiques;900;1999-09-24T00:00:00;31/12/2015;207840746;4940197
126;10;RUE DE BETHUNE;59800;LILLE;2016;CAROLL INTERNATIONAL;4771Z;Commerce de détail d'habillement en magasin spécialisé;903;2016-06-24T00:00:00;31/08/2015;205345125;13034951
127;42;RUE DE PARIS;59800;LILLE;2007;FRANCE LOISIRS;5811Z;édition de livres;913;2008-08-17T00:00:00;31/12/2015;202909192;-11765118
128;;CTRE COMMERCIAL EURALILLE;59777;LILLE;2005;ETAM PRET A PORTER;4771Z;Commerce de détail d'habillement en magasin spécialisé;868;2006-02-13T00:00:00;31/12/2015;197117309;-766617
129;24;RUE LEPELLETIER;59800;LILLE;2015;ELCO;4645Z;Commerce de gros de parfumerie et de produits de beauté;828;2015-11-25T00:00:00;30/06/2015;189677480;1245480
130;7;RUE LAVOISIER LOMME;59160;LILLE;1998;BROSSETTE;4674B;Commerce de gros de fournitures pour la plomberie et le chauffage;0;2015-03-10T00:00:00;31/12/2015;188377596;25171824
131;180;RUE DU FAUBOURG D'ARRAS;59000;LILLE;1900;EXIDE TECHNOLOGIES SAS;2720Z;Fabrication de piles et d'accumulateurs électriques;520;2000-12-12T00:00:00;31/03/2015;187598206;4340911
132;15;RUE DU PALAIS RIHOUR;59800;LILLE;2014;HAVAS MEDIA FRANCE;7311Z;Activités des agences de publicité;649;2015-02-08T00:00:00;31/12/2015;187486772;2521029
133;8;PLACE DU GENERAL DE GAULLE;59800;LILLE;1992;NATURE ET DECOUVERTES SA;4778C;Autres commerces de détail spécialisés divers;979;1998-10-19T00:00:00;31/12/2015;185290541;5717469
134;56;RUE BONTE POLLET;59000;LILLE;2002;APAVE NORD-OUEST SAS;7120B;Analyses, essais et inspections techniques;2321;2002-07-18T00:00:00;31/12/2015;184910813;5947721
135;1;RUE ESQUERMOISE;59800;LILLE;2015;PAGE PERSONNEL;7820Z;Activités des agences de travail temporaire;100;2016-09-29T00:00:00;31/12/2015;183797585;5763007
136;;LE GRAND BUT;59160;LILLE;2004;OPTICAL CENTER;4778A;Commerces de détail d'optique;735;2016-10-20T00:00:00;31/12/2015;180344614;1003487
137;19;RUE DES PONTS DE COMINES;59800;LILLE;2013;MONOP';4711D;Supermarchés;765;2013-04-11T00:00:00;31/12/2015;179775671;-12583315
138;23;RUE DES CHATS BOSSUS;59800;LILLE;2005;HUGO BOSS FRANCE SAS;4771Z;Commerce de détail d'habillement en magasin spécialisé;495;2008-04-14T00:00:00;31/12/2015;178561979;9997844
139;556;AVENUE WILLY BRANDT;59777;LILLE;2011;PRICEWATERHOUSECOOPERS ADVISORY;7022Z;Conseil pour les affaires et autres conseils de gestion;899;2011-09-19T00:00:00;30/06/2015;175841504;212657
140;41;RUE NATIONALE;59800;LILLE;2009;NAF NAF;4771Z;Commerce de détail d'habillement en magasin spécialisé;910;2009-10-23T00:00:00;31/08/2015;175016557;-18022081
141;130;RUE DU GRAND BUT LOMME;59160;LILLE;1999;MIM;4771Z;Commerce de détail d'habillement en magasin spécialisé;1755;2001-09-24T00:00:00;31/03/2015;174324558;-10503620
142;2;RUE FAIDHERBE;59000;LILLE;1997;HIPPO GESTION ET CIE SNC;5610A;Restauration traditionnelle;2419;2013-12-11T00:00:00;31/12/2015;171351333;-12134265
143;;RUE DE LA GRANDE CHAUSSEE;59800;LILLE;2010;LACOSTE FRANCE;4642Z;Commerce de gros d'habillement et de chaussures;423;2010-06-08T00:00:00;31/12/2015;170660670;10642341
144;6;RUE COURTOIS;59000;LILLE;2012;GALLOO FRANCE;3832Z;Récupération de déchets triés;230;2013-06-30T00:00:00;31/12/2015;169145980;-37364024
